County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Merced,4/19/20,85,3,0,2,0,1
Modoc,4/19/20,0,0,0,0,0,0
Mono,4/19/20,23,1,0,0,0,0
Monterey,4/19/20,140,4,25,6,2,0
Napa,4/19/20,49,2,0,3,0,0
Nevada,4/19/20,34,1,1,4,1,4
Orange,4/19/20,1591,32,162,130,73,24
Placer,4/19/20,131,8,11,12,1,5
Plumas,4/19/20,4,0,0,0,0,0
Riverside,4/19/20,2316,83,236,113,76,22
Sacramento,4/19/20,912,34,65,39,22,11
San Benito,4/19/20,40,2,0,0,0,0
San Bernardino,4/19/20,1262,58,158,97,62,17
San Diego,4/19/20,2270,83,226,94,92,26
San Francisco,4/19/20,1153,20,73,34,27,10
San Joaquin,4/19/20,404,17,23,16,12,2
San Luis Obispo,4/19/20,132,1,2,7,2,1
San Mateo,4/19/20,845,31,53,6,18,0
Santa Barbara,4/19/20,377,4,29,7,16,1
Santa Clara,4/19/20,1878,79,143,32,67,5
Santa Cruz,4/19/20,98,2,2,3,1,0
Shasta,4/19/20,26,3,1,0,1,0
Sierra,4/19/20,0,0,0,0,0,0
Siskiyou,4/19/20,5,0,0,1,0,1
Solano,4/19/20,174,2,11,10,6,3
Sonoma,4/19/20,172,2,2,8,0,2
Stanislaus,4/19/20,221,4,13,16,5,3
Sutter,4/19/20,21,2,0,0,0,0
Tehama,4/19/20,1,1,0,0,0,0
Trinity,4/19/20,0,0,0,0,0,0
Tulare,4/19/20,391,17,27,0,9,0
Tuolumne,4/19/20,2,0,0,0,0,0
Unassigned,4/19/20,1,0,0,0,0,0
Ventura,4/19/20,418,13,26,26,9,4
Yolo,4/19/20,120,8,6,0,0,0
Yuba,4/19/20,15,1,0,2,0,2
Alameda,4/20/20,1181,50,85,52,38,4
Alpine,4/20/20,1,0,0,0,0,0
Amador,4/20/20,7,0,0,0,0,0
Butte,4/20/20,15,0,1,2,0,1
Calaveras,4/20/20,12,0,0,1,0,0
Colusa,4/20/20,3,0,1,0,0,0
Contra Costa,4/20/20,753,22,37,28,13,8
Del Norte,4/20/20,2,0,0,2,0,1
El Dorado,4/20/20,36,0,0,4,0,0
Fresno,4/20/20,356,7,35,30,15,1
Glenn,4/20/20,3,0,0,0,0,0
Humboldt,4/20/20,53,0,0,6,0,0
Imperial,4/20/20,149,3,25,9,11,2
Inyo,4/20/20,17,0,1,0,1,0
Kern,4/20/20,651,3,34,11,13,1
Kings,4/20/20,19,1,8,0,3,0
Lake,4/20/20,6,0,0,2,0,1
Lassen,4/20/20,0,0,0,1,0,0
Los Angeles,4/20/20,13787,617,1791,602,625,93
Madera,4/20/20,35,2,0,6,0,0
Marin,4/20/20,200,10,6,4,2,1
Mariposa,4/20/20,0,0,0,1,0,0
Mendocino,4/20/20,5,0,0,0,0,0
Merced,4/20/20,88,3,0,1,0,1
Modoc,4/20/20,0,0,0,0,0,0
Mono,4/20/20,23,1,0,0,0,0
Monterey,4/20/20,147,4,24,7,2,1
Napa,4/20/20,55,2,1,2,1,0
Nevada,4/20/20,34,1,1,5,1,2
Orange,4/20/20,1679,33,172,102,73,21
Placer,4/20/20,132,8,8,7,2,1
Plumas,4/20/20,4,0,0,0,0,0
Riverside,4/20/20,2477,89,240,145,72,29
Sacramento,4/20/20,924,34,69,32,33,8
San Benito,4/20/20,43,2,0,0,0,0
San Bernardino,4/20/20,1344,60,152,200,60,28
San Diego,4/20/20,2327,102,238,76,95,13
San Francisco,4/20/20,1223,20,79,27,27,7
San Joaquin,4/20/20,422,17,30,23,16,4
San Luis Obispo,4/20/20,132,1,2,3,2,0
San Mateo,4/20/20,890,31,56,16,18,4
Santa Barbara,4/20/20,388,4,30,9,20,2
Santa Clara,4/20/20,1920,83,149,42,68,8
Santa Cruz,4/20/20,102,2,3,1,1,0
Shasta,4/20/20,26,3,1,0,1,0
Sierra,4/20/20,0,0,0,0,0,0
Siskiyou,4/20/20,5,0,0,1,0,1
Solano,4/20/20,185,2,10,11,6,3
Sonoma,4/20/20,178,2,2,12,0,6
Stanislaus,4/20/20,228,4,13,18,5,6
Sutter,4/20/20,22,2,0,0,0,0
Tehama,4/20/20,1,1,0,0,0,0
Trinity,4/20/20,0,0,0,0,0,0
Tulare,4/20/20,401,18,27,0,9,0
Tuolumne,4/20/20,2,0,0,0,0,0
Unassigned,4/20/20,2,0,0,0,0,0
Ventura,4/20/20,426,13,29,18,8,2
Yolo,4/20/20,125,10,5,1,0,0
Yuba,4/20/20,15,1,0,1,0,1
Alameda,4/21/20,1234,51,85,59,41,9
Alpine,4/21/20,1,0,0,0,0,0
Amador,4/21/20,7,0,0,0,0,0
Butte,4/21/20,15,0,0,1,0,1
Calaveras,4/21/20,12,0,0,0,0,0
Colusa,4/21/20,3,0,1,0,1,0
Contra Costa,4/21/20,766,22,33,44,13,11
Del Norte,4/21/20,2,0,0,1,0,0
El Dorado,4/21/20,36,0,0,3,0,0
Fresno,4/21/20,372,7,35,35,15,3
Glenn,4/21/20,3,0,0,0,0,0
Humboldt,4/21/20,53,0,0,5,0,0
Imperial,4/21/20,165,5,23,12,12,0
Inyo,4/21/20,18,0,1,0,1,0
Kern,4/21/20,676,4,31,12,13,1
Kings,4/21/20,28,1,8,0,3,0
Lake,4/21/20,6,0,0,2,0,0
Lassen,4/21/20,0,0,0,1,0,0
Los Angeles,4/21/20,15096,663,1854,617,613,111
Madera,4/21/20,37,2,0,5,0,0
Marin,4/21/20,202,10,5,4,2,1
Mariposa,4/21/20,0,0,0,1,0,0
Mendocino,4/21/20,5,0,0,1,0,0
Merced,4/21/20,89,3,0,3,0,2
Modoc,4/21/20,0,0,0,1,0,0
Mono,4/21/20,23,1,0,0,0,0
Monterey,4/21/20,151,4,7,4,2,1
Napa,4/21/20,58,2,1,1,1,0
Nevada,4/21/20,36,1,1,4,1,2
Orange,4/21/20,1717,33,179,129,77,27
Placer,4/21/20,133,8,4,18,2,2
Plumas,4/21/20,4,0,0,0,0,0
Riverside,4/21/20,2631,96,250,120,81,32
Sacramento,4/21/20,941,35,54,39,21,8
San Benito,4/21/20,43,2,1,0,0,0
San Bernardino,4/21/20,1499,67,153,204,51,36
San Diego,4/21/20,2436,109,221,84,98,21
San Francisco,4/21/20,1232,20,76,45,25,9
San Joaquin,4/21/20,447,20,27,24,16,5
San Luis Obispo,4/21/20,134,1,1,5,1,3
San Mateo,4/21/20,933,31,53,14,19,2
Santa Barbara,4/21/20,414,5,26,8,13,5
Santa Clara,4/21/20,1943,88,144,34,70,16
Santa Cruz,4/21/20,104,2,3,2,1,0
Shasta,4/21/20,26,3,1,0,1,0
Sierra,4/21/20,0,0,0,0,0,0
Siskiyou,4/21/20,5,0,0,1,0,1
Solano,4/21/20,193,3,6,17,2,0
Sonoma,4/21/20,182,2,2,17,0,6
Stanislaus,4/21/20,235,4,11,20,4,7
Sutter,4/21/20,22,2,0,0,0,0
Tehama,4/21/20,1,1,0,0,0,0
Trinity,4/21/20,0,0,0,0,0,0
Tulare,4/21/20,410,22,27,0,9,0
Tuolumne,4/21/20,2,0,0,0,0,0
Unassigned,4/21/20,2,0,0,0,0,0
Ventura,4/21/20,455,13,28,28,9,10
Yolo,4/21/20,143,10,5,2,1,0
Yuba,4/21/20,15,1,0,0,0,0
